code,name,price,market_cap,roe,change_5d,change_20d,trend,ma20,ma60,score
sz.002707,众信旅游,7.19,70.65721087,15.24,0.8415147265077207,4.202898550724639,上升,7.106500000000001,7.062166666666667,85
sh.603605,珀莱雅,68.48,271.16436343,32.53,1.7835909631391242,1.0178492403009258,震荡,67.747,71.09099999999998,85
unknown.920100,三协电机,73.66,54.36793038,22.28,3.6005625879043635,13.813349814585903,上升,68.562,67.32549999999999,85
sz.002011,盾安环境,12.68,136.26906123,21.05,-0.39277297721917287,3.0056864337936573,震荡,12.632000000000001,13.058166666666667,85
sz.301613,新铝时代,51.7,74.3659247,21.2,5.769230769230769,8.819195958745537,震荡,48.8125,48.95566666666666,85
sh.603871,嘉友国际,13.95,190.83720779,23.94,0.5767844268204764,11.778846153846144,上升,13.747,13.616166666666667,85
sz.300533,冰川网络,34.73,81.42864218,33.05,2.0870076425631794,3.6407042673828673,震荡,34.214,35.645,85
sz.002052,同洲电子,12.75,95.93606099,83.82,-4.135338345864667,2.9055690072639178,震荡,12.565000000000001,13.525666666666666,85
sz.301345,涛涛车业,251.32,274.06212524,18.13,0.7900541407659911,5.601075675448541,上升,244.58199999999997,227.7621666666667,85
unknown.920978,开特股份,36.9,66.43050469,21.63,0.0,0.4081632653061186,震荡,36.37049999999999,37.27350000000001,85
sz.002290,禾盛新材,45.7,113.38733481,16.36,0.8830022075055314,6.850596212298339,上升,42.905499999999996,40.889666666666656,85
sz.301622,英思特,64.4,74.66013072,21.47,-0.26328016106549096,3.1720602371034987,震荡,63.57900000000001,69.64416666666666,85
sz.301590,优优绿能,177.3,74.56019594,28.64,-0.17453972186250902,3.696338753070547,震荡,175.0505,178.14666666666665,85
unknown.920599,同力股份,20.73,95.8814325,28.87,-0.3844305622296891,3.857715430861721,震荡,20.529000000000003,20.564666666666664,85
sz.002564,天沃科技,7.7,66.13564473,34.4,1.4492753623188448,4.761904761904769,震荡,7.4895,8.271333333333333,85
sh.600610,中毅达,9.93,106.37756828,50.17,-0.8982035928143698,1.950718685831617,震荡,9.8865,10.732999999999999,85
sh.688648,中邮科技,61.46,83.5856,36.45,4.204815191590376,18.35162719044868,上升,58.012,55.621666666666655,85
sh.688625,呈和科技,41.2,77.58823181,19.43,-1.7644253695755718,3.206412825651305,上升,39.863,38.6575,85
sh.601156,东航物流,18.41,292.26897786,16.1,1.8815716657443269,9.063981042654037,上升,17.9555,16.824666666666666,85
sz.000786,北新建材,24.97,425.04833969,15.01,1.4628199918732199,1.793721973094161,上升,24.797500000000003,24.550166666666666,85
sh.688019,安集科技,217.92,367.31343903,22.18,1.4100237330727354,10.451089711099835,上升,212.567,205.38366666666667,85
sz.002827,高争民爆,37.73,104.5294558,16.97,-1.5910276473656924,8.700662633246893,上升,37.6375,37.053000000000004,85
sz.301317,鑫磊股份,32.24,50.678056,31.64,-0.9828009828009836,0.09313877677740184,震荡,32.31250000000001,31.921666666666667,85
sh.688583,思看科技,93.19,82.37996,21.62,-1.2713211145248469,5.0028169014084485,震荡,93.89250000000001,90.11883333333334,85
sz.001207,联科科技,25.37,54.93288975,15.15,2.422285022204285,8.003405704555142,上升,24.567999999999998,23.336000000000002,85
sz.301600,慧翰股份,129.81,135.68195535,23.99,-2.545045045045035,3.682108626198082,震荡,133.1265,126.95650000000002,85
sz.301611,珂玛科技,85.73,373.7828,29.32,0.269005847953221,36.94888178913738,上升,77.512,61.62483333333334,85
sh.603568,伟明环保,25.38,434.03050137,22.24,1.5606242496998823,17.77262180974477,上升,24.220999999999997,23.124833333333342,85
sh.601038,一拖股份,14.17,159.22053547,15.45,-0.42164441321152846,2.681159420289849,上升,14.117,13.354166666666666,85
sz.000523,红棉股份,3.77,69.19716098,30.95,-3.5805626598465508,12.874251497005993,上升,3.694,3.4611666666666676,85
sz.300360,炬华科技,17.39,89.41714121,17.4,-1.69587337478802,9.371069182389938,上升,17.144,16.458833333333335,85
sz.300487,蓝晓科技,61.75,313.48350121,21.33,-0.3871592192289111,13.115955303169072,上升,60.86749999999999,56.775666666666666,85
sh.603262,技源集团,28.49,113.962849,20.52,0.9567682494684606,2.7777777777777763,震荡,28.0165,28.5595,85
sh.603103,横店影视,16.58,105.15036,25.6,5.136334812935947,1.1592434411226218,震荡,15.9325,16.1075,85
sz.301187,欧圣电气,26.91,68.60261158,17.03,5.446708463949845,8.333333333333334,上升,26.184999999999995,25.295,85
sh.601702,华峰铝业,20.47,204.39921382,24.2,-0.34079844206426624,11.250000000000004,上升,20.3915,18.542666666666666,85
sh.688708,佳驰科技,62.25,249.006225,25.46,1.5497553017944583,4.271356783919593,震荡,60.15400000000001,63.75233333333333,85
sz.301501,恒鑫生活,43.66,64.57314,23.54,-0.8853575482406371,1.1819235225955922,震荡,43.547999999999995,45.108333333333334,85
sh.600666,奥瑞德,3.36,92.44863244,29.55,3.06748466257669,2.12765957446808,震荡,3.2885000000000004,3.433500000000001,85
sh.603055,台华新材,9.44,84.04363031,15.47,4.772475027746944,5.005561735261393,上升,9.0745,9.007000000000001,85
sh.603418,友升股份,60.5,116.80640862,23.13,8.132260947274347,5.898827236128124,震荡,56.67999999999999,57.90333333333334,85
